x_m,true_rockhead_depth_m,mean_integrated_depth_m,median_integrated_depth_m,standard_deviation_m,lower_95_depth_m,upper_95_depth_m,uncertainty_width_m,true_inside_95_interval
29.0,20.05282652936592,20.159288475818464,20.20169131774565,0.3173649870236712,19.616890587698883,20.714950843229147,1.0980602555302639,True
31.0,19.407774175450605,19.726586116536758,19.73225568462896,0.3006601142899687,19.20415521274644,20.25299412700042,1.048838914253981,True
33.0,18.71833848294747,19.279461797926174,19.258297133801786,0.28123992979971607,18.78201485143929,19.786861418112668,1.004846566673379,False
35.0,18.00725499525886,18.778767159859292,18.74868130557131,0.28714736908027594,18.339097527215817,19.290243197399366,0.9511456701835499,False
37.0,17.298276675113666,18.07819520913182,18.11999041235468,0.29318960689859547,17.576387554238902,18.543402920248788,0.9670153660098855,False
39.0,16.615548144783872,16.944702840879266,16.969730629456667,0.45742928439365727,16.14030164723666,17.69821390582758,1.5579122585909175,True
41.0,15.983001739194274,16.199086468653572,16.13961149673941,0.5025457411299489,15.350920775753554,17.119516013184374,1.7685952374308194,True
43.0,15.423790078932361,15.620223182846399,15.66063640442081,0.5078241655033756,14.747588763679857,16.540467595203303,1.7928788315234456,True
45.0,14.95976017439396,15.140987020938255,15.165129929315276,0.5129516653190763,14.306540694124784,16.02491396824732,1.7183732741225342,True
47.0,14.610961950065485,14.7946656431054,14.794658521355974,0.4984125623924037,13.981966033039956,15.61690290534171,1.634936872301754,True
49.0,14.395171311283834,14.555137659107737,14.561329014576472,0.4574262071695389,13.78287005842214,15.391304245391494,1.6084341869693528,True
51.0,14.327397344639444,14.446462679305577,14.461228555095513,0.39575104903386416,13.713319275505985,15.159614286191182,1.4462950106851977,True
53.0,14.419338681414178,14.519324659294089,14.521684146575751,0.33288051192676926,13.88060152577083,15.085253391412087,1.2046518656412566,True
55.0,14.678759375543535,14.783230187786257,14.802737706504345,0.28057131113559014,14.253307614538697,15.259744247949463,1.0064366334107664,True
57.0,15.108772849203033,15.182684601596145,15.17430694204539,0.2614707485702036,14.716490472323896,15.652175777990776,0.9356853056668797,True
59.0,15.707054264560615,15.697761612488762,15.681032879801805,0.2770895340966891,15.26541465234591,16.185288606085233,0.919873953739323,True
61.0,16.465044296511614,16.315350918936982,16.318852215192415,0.3227140813609984,15.748469052016885,16.951697929352697,1.2032288773358122,True
63.0,17.36725374941495,17.17886196786662,17.226568297857884,0.36929986943411414,16.511269312718326,17.932449433938633,1.4211801212203063,True
65.0,18.39081808815712,18.333284524781252,18.396354096129528,0.4123479350735814,17.473520422308592,19.108866123544935,1.6353457012363428,True
67.0,19.505471104249988,19.56819040449264,19.58741249356426,0.4512310857227963,18.758331452997428,20.503212761959063,1.7448813089616344,True
69.0,20.67409606294943,20.601796319095868,20.581777764302515,0.4736539820772747,19.769492935665973,21.622105641977647,1.8526127063116746,True
71.0,21.85396397616184,21.545980446855392,21.45344086191116,0.5571994685520038,20.757608168636388,22.94692479131651,2.1893166226801206,True
73.0,22.99868331632552,22.696383835473313,22.65740938295383,0.6204401016611378,21.54239520432695,24.06157719164873,2.5191819873217796,True
75.0,24.060774385794563,22.695073055445746,22.65635088121146,0.6203915091146088,21.539507280494057,24.060425787972456,2.520918507478399,False
77.0,24.99466433426615,22.688742993707834,22.6506061794425,0.6193100265782628,21.53198571700587,24.05235688443236,2.5203711674264895,False
79.0,25.75980025433455,22.714744489525007,22.696744482315395,0.6018935570491801,21.560026408963147,24.030100933767265,2.4700745248041187,False
81.0,26.323521976899315,23.163663588777307,23.07610257541665,0.48241769046526495,22.204056243797854,24.22804715951158,2.023990915713725,False
83.0,26.663340052219908,23.31024912158175,23.255390899091044,0.4627236777277477,22.4283431547429,24.288621253793018,1.8602780990501167,False
85.0,26.76833244775228,23.2256142722244,23.176635461507246,0.450429154904761,22.36640654838247,24.167521178810226,1.8011146304277545,False
87.0,26.639495591261515,23.096994203375175,23.040970333540493,0.43304313985994847,22.270046666821866,23.998199393726853,1.7281527269049874,False
89.0,26.28903847639607,22.926012526705996,22.86444299375036,0.41003601969272907,22.145021864018002,23.781983790817176,1.6369619267991737,False
91.0,25.738761999239433,22.706908689450287,22.65761162819126,0.381064428759342,21.978340755141197,23.483676184314753,1.505335429173556,False
93.0,25.017788867975057,22.433717945362805,22.394847632586362,0.34631630147627535,21.764914295359947,23.118219063873102,1.353304768513155,False
95.0,24.15997922843529,22.100469967037466,22.08159286834489,0.3070955864604457,21.507522564672172,22.698169338242742,1.1906467735705704,False
97.0,23.201373390275542,21.701194274568735,21.681202278419896,0.26715537909574666,21.194233254828,22.206836929260145,1.012603674432146,False
99.0,22.177950154250976,21.22992038388425,21.24835182945842,0.23545231926260626,20.761653973083558,21.682398015471062,0.9207440423875042,False
101.0,21.123894054910217,20.68067781079776,20.684754077468394,0.2287564714336145,20.222875663057703,21.116069280440765,0.8931936173830621,False
103.0,20.070451331015732,20.047496071119948,20.03077549930528,0.26392579164045515,19.49626976648851,20.501311319510503,1.005041553021993,True
105.0,19.045347279445824,19.324404680661345,19.32045034825775,0.34220991659375327,18.68237076008042,19.859914638537607,1.177543878457186,True
107.0,18.07265636021429,18.505433155232527,18.519554868507598,0.45471266775156965,17.61333140880067,19.241901960083172,1.628570551282504,True
109.0,17.17297172794546,17.58461101064408,17.59652013066274,0.5945065385450947,16.393431876087547,18.630748428754433,2.2373165526668863,True
111.0,16.363713837955814,16.55596776270655,16.553761463020948,0.7583112165386163,15.081520833034055,17.895746661034153,2.8142258280000974,True
113.0,15.659441487952332,15.413532927230522,15.43587962159986,0.9449532440607622,13.551109711797105,17.100627930028875,3.5495182182317695,True
115.0,15.07207144659233,14.151336020026543,14.160467341324946,1.1542958599036817,11.844087174375206,16.265708878965516,4.42162170459031,True
117.0,14.610961950065485,12.763406556905188,12.749975476743277,1.3867184854795154,9.96649775375334,15.357787712087035,5.3912899583336955,True
119.0,14.282860039085463,11.243774053677022,11.220128579286401,1.6428712757793378,7.910219217398173,14.36642224773288,6.456203030334707,True
