realization_id,random_seed,inversion_success,travel_time_rmse_ms,geophysical_coverage_percent,mean_error_m,mae_m,rmse_m,maximum_absolute_error_m
20,607331778,True,0.5654269694507243,35.0,-0.21518966836966802,1.1802427593229552,1.7811123040346126,4.513854574429942
21,1765913049,True,0.5959355679537216,33.33333333333333,-0.3688901747668409,1.36249133411085,1.9819081269348071,4.483622979516099
22,1062997581,True,0.6607450442528602,35.0,-0.6079383099727264,1.0551273774174112,1.5764930166412463,5.348061755230177
23,703281298,True,0.5591064739899606,33.33333333333333,-0.6008876773160716,0.9520666515869173,1.3864148534169252,3.2797987738967542
24,1589055438,True,0.5670885241784108,35.0,-0.44994050733435315,0.885811375700894,1.3652350808787468,3.6652154938302886
25,1878470746,True,0.6181851452641651,35.0,-0.17125386448553953,1.5285473550328144,2.4607589404052606,9.064230148382872
26,271945225,True,0.572286188625338,35.0,-0.5514668529312757,1.0052338226966944,1.5222797848909653,3.631405283634468
27,691246617,True,0.5357711395058194,35.0,-0.5638651241001504,0.8664422012745858,1.4119199781018406,5.160503583626763
28,1821257936,True,0.594169591521511,35.0,-0.8374719819378539,1.2792682043732009,1.7705371951435465,4.34360002421484
29,1480956129,True,0.6106418029309527,33.33333333333333,-0.519330502839592,0.8465950719608126,1.3161237768021083,3.3193001625521816
30,847227075,True,0.5998916137226619,35.0,-0.34113347327689353,1.0862427640325762,1.5975194379935094,6.791196268817913
31,898933720,True,0.708075767426047,35.0,-0.09921230110073974,1.3656615500658864,2.1694663031858155,7.645280658242317
32,15091875,True,0.6096423925803651,33.33333333333333,-0.26856461825846445,0.7746208580713565,1.1148348889294835,3.4948084426070114
33,1521348738,True,0.6055060704880894,33.33333333333333,-0.18198278485790514,1.1252345895960028,1.6165546490450133,3.8408500351310906
34,1999002670,True,0.6234983176864373,33.33333333333333,-0.347309136897825,1.363922789642403,1.842084565071032,4.052742678717841
35,1423794115,True,0.6269334787735272,33.33333333333333,-0.44489411855086514,1.031777164638997,1.5201658925247488,3.610697334732663
36,139454328,True,0.6295515595865947,35.0,-0.42873224385911374,1.0663095340561966,1.5655191622284692,3.696729395806411
37,895265318,True,0.5958032117696186,35.0,0.2029185000355233,1.44894173101252,2.12333302195196,7.396844507936606
38,1732882236,True,0.6135537274466822,35.0,0.11673508010278098,1.530909017039192,2.426134001145917,8.86128070847289
39,236997836,True,0.6219164840264073,33.33333333333333,-0.6346540506763961,1.04970667656791,1.5562272729340167,3.875052421650647
40,206814186,True,0.5965995280031164,35.0,-0.4173021303801601,1.4215204554141059,2.127689122615051,7.110508492001387
41,988599278,True,0.6530695859205404,35.0,-0.31917274753312214,1.5861431196069387,2.4090400756370833,8.17531826991598
42,147246999,True,0.47538435663935424,33.33333333333333,-0.23027105836050646,1.1983824260548668,1.7851900861266707,6.44498990931314
43,134349681,True,0.6161105003006663,33.33333333333333,0.056249443356506834,1.4471026290955595,2.2007879869404343,8.000778049635692
44,1916959792,True,0.6133613738630643,33.33333333333333,-0.5361403043755388,1.1366686480473727,1.4871566656127493,4.9230191860825645
45,1379084541,True,0.5512838358206111,35.0,-0.027142996570437637,1.1923830988272255,1.645270936604353,4.45152381535549
46,914953546,True,0.5989919311375753,35.0,-0.25942415878734076,1.4033686539437855,2.1780020493389,7.485285999417936
47,921532705,True,0.5919809953998637,33.33333333333333,-0.23931323410732455,0.8278783343163663,1.2113797528920283,3.0788413662501135
48,1072803822,True,0.5896309245542186,33.33333333333333,-0.714954346819327,0.8884487197027074,1.4230726133242253,3.5890078322180585
49,1282609519,True,0.5898172687262904,33.33333333333333,-0.8053903989501268,1.1897823606193845,1.7226167270544577,4.101424156544194
50,963169368,True,0.621946811339789,35.0,-0.17266107439070713,1.082443474879297,1.5226481733674881,3.9166126570870787
