pair_id,source_x_m,source_z_m,receiver_x_m,receiver_z_m,offset_m,linear_travel_time_s,linear_travel_time_ms,noise_ms,observed_travel_time_ms,observed_travel_time_s,predicted_travel_time_ms,travel_time_residual_ms
49,25.0,0.0,90.0,0.0,65.0,0.0948480385122356,94.84803851223565,0.0903455386171675,94.93838405085282,0.0949383840508528,95.2112703966552,-0.2728863458023767
50,25.0,0.0,94.0,0.0,69.0,0.1001464884773068,100.14648847730687,-2.5676457063677365,97.57884277093912,0.0975788427709391,99.12502384556322,-1.5461810746241014
51,25.0,0.0,98.0,0.0,73.0,0.1048567320132773,104.8567320132774,-1.0013770794395405,103.85535493383786,0.1038553549338378,103.89697841639443,-0.041623482556573776
52,25.0,0.0,102.0,0.0,77.0,0.1100334847173187,110.03348471731876,-0.7685863873010284,109.26489833001772,0.1092648983300177,109.23046251329848,0.03443581671923823
53,25.0,0.0,106.0,0.0,81.0,0.1144613886964714,114.46138869647145,-1.713470533234673,112.74791816323678,0.1127479181632367,114.84263493510035,-2.094716771863574
54,25.0,0.0,110.0,0.0,85.0,0.1203024660572619,120.30246605726198,-0.2262867986502559,120.07617925861172,0.1200761792586117,120.61801958604102,-0.5418403274292984
55,25.0,0.0,114.0,0.0,89.0,0.1249439403288472,124.94394032884723,-0.2578010559276608,124.68613927291958,0.1246861392729195,125.69532374828214,-1.0091844753625594
56,25.0,0.0,118.0,0.0,93.0,0.1306589353872173,130.6589353872173,-0.572464296954027,130.08647109026327,0.1300864710902632,132.2409114794848,-2.15444038922152
57,45.0,0.0,2.0,0.0,43.0,0.0807510602271614,80.75106022716143,1.0653684729049182,81.81642870006635,0.0818164287000663,80.2289824571413,1.5874462429250542
58,45.0,0.0,6.0,0.0,39.0,0.0732393336944022,73.23933369440222,0.5187330471524327,73.75806674155466,0.0737580667415546,73.20469665403898,0.553370087515674
59,45.0,0.0,10.0,0.0,35.0,0.065727607161643,65.72760716164302,-0.5679906828018818,65.15961647884114,0.0651596164788411,65.18027512125074,-0.020658642409600247
60,45.0,0.0,14.0,0.0,31.0,0.0582158806288838,58.215880628883816,-0.6785455271863838,57.53733510169743,0.0575373351016974,57.7285346899347,-0.1911995882372679
61,45.0,0.0,18.0,0.0,27.0,0.0507041540961246,50.70415409612462,0.2402285187399427,50.94438261486456,0.0509443826148645,50.443548008241684,0.5008346066228739
62,45.0,0.0,22.0,0.0,23.0,0.0431924275633654,43.19242756336542,-0.0360129177348699,43.15641464563055,0.0431564146456305,43.085105773859055,0.07130887177149248
63,45.0,0.0,26.0,0.0,19.0,0.0356807010306062,35.68070103060621,0.7842381843627461,36.46493921496896,0.0364649392149689,35.3848997382789,1.080039476690061
64,45.0,0.0,30.0,0.0,15.0,0.028168974497847,28.168974497847003,-0.2424842542600142,27.92649024358699,0.0279264902435869,27.84736195997823,0.07912828360876034
65,45.0,0.0,34.0,0.0,11.0,0.0206572479650878,20.657247965087805,-0.6988963314460808,19.95835163364173,0.0199583516336417,20.786461810667035,-0.8281101770253052
66,45.0,0.0,38.0,0.0,7.0,0.0131455214323286,13.145521432328604,0.5612302811082515,13.706751713436857,0.0137067517134368,13.536611396309926,0.1701403171269309
